x	xend	tooltip	PANEL	group
0.0454545454545455	0.045610222028656	( 0 ,  0 )	1	1
0.0454545454545455	0.0454545808454543	( 0 ,  0 )	1	2
0.0454545454545454	0.0467755240015349	( 0 ,  0 )	2	3
0.0454545454545454	0.0454546136417183	( 0 ,  0 )	2	4
0.0454545454545455	0.0454589679671611	( 0 ,  0 )	3	5
0.0454545454545455	0.0454546168317968	( 0 ,  0 )	3	6
0.0454545454545454	0.0456946298830707	( 0 ,  0 )	4	7
0.0454545454545454	0.0454545463632992	( 0 ,  0 )	4	8
0.0454545454545455	0.0455225326653945	( 0 ,  0 )	5	9
0.0454545454545455	0.0454567850463954	( 0 ,  0 )	5	10
0.0454545454545455	0.0454546577699941	( 0 ,  0 )	6	11
0.0454545454545455	0.0454549687273849	( 0 ,  0 )	6	12
0.0454545454545455	0.0479231339351656	( 0 ,  0 )	7	13
0.0454545454545455	0.0454561880912286	( 0 ,  0 )	7	14
0.0454545454545455	0.0466580166655688	( 0 ,  0 )	8	15
0.0454545454545455	0.0454630686928334	( 0 ,  0 )	8	16
0.0454545454545455	0.0454598239445528	( 0 ,  0 )	9	17
0.0454545454545455	0.0454869804298406	( 0 ,  0 )	9	18
0.0454545454545454	0.0464616930138486	( 0 ,  0 )	10	19
0.0454545454545454	0.0454636894900865	( 0 ,  0 )	10	20
0.0454545454545455	0.0456049687215484	( 0 ,  0 )	11	21
0.0454545454545455	0.0454704817805428	( 0 ,  0 )	11	22
0.0454545454545455	0.0454557502938865	( 0 ,  0 )	12	23
0.0454545454545455	0.0454650329427213	( 0 ,  0 )	12	24
0.0454545454545455	0.0651472325709172	( 0 ,  0.02 )	13	25
0.0454545454545455	0.0455251413344638	( 0 ,  0 )	13	26
0.0454545454545455	0.0456473112403644	( 0 ,  0 )	14	27
0.0454545454545455	0.0454900602766267	( 0 ,  0 )	14	28
0.0454545454545455	0.0454879907974302	( 0 ,  0 )	15	29
0.0454545454545455	0.0454641346791063	( 0 ,  0 )	15	30
0.0454545454545455	0.0454798247355652	( 0 ,  0 )	16	31
0.0454545454545455	0.0454821290207356	( 0 ,  0 )	16	32
0.0454545454545455	0.0455932997907815	( 0 ,  0 )	17	33
0.0454545454545455	0.045493082745624	( 0 ,  0 )	17	34
0.0454545454545455	0.0456263242739595	( 0 ,  0 )	18	35
0.0454545454545455	0.0454970088343204	( 0 ,  0 )	18	36
0.0454545454545455	0.0457298169512357	( 0 ,  0 )	19	37
0.0454545454545455	0.0457023673203231	( 0 ,  0 )	19	38
0.0454545454545455	0.0458015224001777	( 0 ,  0 )	20	39
0.0454545454545455	0.045462019085678	( 0 ,  0 )	20	40
0.0454545454545455	0.0479208515004464	( 0 ,  0 )	21	41
0.0454545454545455	0.0455453179398128	( 0 ,  0 )	21	42
0.0454545454545455	0.0458180362260207	( 0 ,  0 )	22	43
0.0454545454545455	0.0454973232888148	( 0 ,  0 )	22	44
0.0454545454545455	0.0717469827093561	( 0 ,  0.03 )	23	45
0.0454545454545455	0.0454633297748936	( 0 ,  0 )	23	46
0.0454545454545455	0.0455557380999551	( 0 ,  0 )	24	47
0.0454545454545455	0.0454870460181252	( 0 ,  0 )	24	48
