colour	x	y	label	showSelected	clickSelects	showSelectedlegendcolour	PANEL
#00C094	0.0454545454545448	0.431716513330078	United Arab Emirates	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4
#A58AFF	0.0454545454545448	0.112663107094645	Afghanistan	Afghanistan	Afghanistan	South Asia	4
#53B400	0.0454545454545448	0.753306263793557	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.597590917622663	Albania	Albania	Albania	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.65367741600564	Armenia	Armenia	Armenia	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.141539199914507	Angola	Angola	Angola	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.643100700960569	Argentina	Argentina	Argentina	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.696240418830468	Austria	Austria	Austria	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.731009692645169	Australia	Australia	Australia	East Asia & Pacific (all income levels)	4
#53B400	0.0454545454545448	0.649243183992925	Aruba	Aruba	Aruba	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.575494624177745	Azerbaijan	Azerbaijan	Azerbaijan	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.565695837906247	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.632195636887474	Barbados	Barbados	Barbados	Latin America & Caribbean (all income levels)	4
#A58AFF	0.0454545454545448	0.371725929802551	Bangladesh	Bangladesh	Bangladesh	South Asia	4
#C49A00	0.0454545454545448	0.713634556576609	Belgium	Belgium	Belgium	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.186379364054058	Burkina Faso	Burkina Faso	Burkina Faso	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.706554530659838	Bulgaria	Bulgaria	Bulgaria	Europe & Central Asia (all income levels)	4
#00C094	0.0454545454545448	0.434382829048385	Bahrain	Bahrain	Bahrain	Middle East & North Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.270104185830653	Burundi	Burundi	Burundi	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.181910548983993	Benin	Benin	Benin	Sub-Saharan Africa (all income levels)	4
#00B6EB	0.0454545454545448	0.840824200904306	Bermuda	Bermuda	Bermuda	North America	4
#F8766D	0.0454545454545448	0.598870110711009	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific (all income levels)	4
#53B400	0.0454545454545448	0.292159815680665	Bolivia	Bolivia	Bolivia	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.476645985364982	Brazil	Brazil	Brazil	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.612713594558041	Bahamas, The	Bahamas, The	Bahamas, The	Latin America & Caribbean (all income levels)	4
#A58AFF	0.0454545454545448	0.205281475114088	Bhutan	Bhutan	Bhutan	South Asia	4
#FB61D7	0.0454545454545448	0.415022017436473	Botswana	Botswana	Botswana	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.691383209424013	Belarus	Belarus	Belarus	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.576423426289425	Belize	Belize	Belize	Latin America & Caribbean (all income levels)	4
#00B6EB	0.0454545454545448	0.73593492806325	Canada	Canada	Canada	North America	4
#FB61D7	0.0454545454545448	0.266699844866485	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.196031837390617	Central African Republic	Central African Republic	Central African Republic	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.384580946263136	Congo, Rep.	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.738743376346929	Switzerland	Switzerland	Switzerland	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.257446786840637	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.515974522243613	Chile	Chile	Chile	Latin America & Caribbean (all income levels)	4
#FB61D7	0.0454545454545448	0.274579461471871	Cameroon	Cameroon	Cameroon	Sub-Saharan Africa (all income levels)	4
#F8766D	0.0454545454545448	0.304715745700214	China	China	China	East Asia & Pacific (all income levels)	4
#53B400	0.0454545454545448	0.511247664361016	Colombia	Colombia	Colombia	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.587440980307305	Costa Rica	Costa Rica	Costa Rica	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.61953405752789	Cuba	Cuba	Cuba	Latin America & Caribbean (all income levels)	4
#FB61D7	0.0454545454545448	0.385958948086764	Cape Verde	Cape Verde	Cape Verde	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.79166305476402	Curacao	Curacao	Curacao	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.711899703205162	Cyprus	Cyprus	Cyprus	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.723713047575685	Czech Republic	Czech Republic	Czech Republic	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.712362204093015	Germany	Germany	Germany	Europe & Central Asia (all income levels)	4
#00C094	0.0454545454545448	0.228026105875916	Djibouti	Djibouti	Djibouti	Middle East & North Africa (all income levels)	4
#C49A00	0.0454545454545448	0.752192765353615	Denmark	Denmark	Denmark	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.741080582970018	Dominica	Dominica	Dominica	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.434553464133551	Dominican Republic	Dominican Republic	Dominican Republic	Latin America & Caribbean (all income levels)	4
#00C094	0.0454545454545448	0.359679244803317	Algeria	Algeria	Algeria	Middle East & North Africa (all income levels)	4
#53B400	0.0454545454545448	0.455265675217283	Ecuador	Ecuador	Ecuador	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.696117667978556	Estonia	Estonia	Estonia	Europe & Central Asia (all income levels)	4
#00C094	0.0454545454545448	0.343290295921902	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.236911671413222	Eritrea	Eritrea	Eritrea	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.704399740163429	Spain	Spain	Spain	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.225995966399406	Ethiopia	Ethiopia	Ethiopia	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.69988874136407	Finland	Finland	Finland	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.499366674010182	Fiji	Fiji	Fiji	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.524860467814518	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.716226385709855	France	France	France	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.244108747677947	Gabon	Gabon	Gabon	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.735836119327966	United Kingdom	United Kingdom	United Kingdom	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.610890573392032	Grenada	Grenada	Grenada	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.615873193885579	Georgia	Georgia	Georgia	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.343962575355437	Ghana	Ghana	Ghana	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.645692150060218	Greenland	Greenland	Greenland	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.150253750333052	Gambia, The	Gambia, The	Gambia, The	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.131859744192545	Guinea	Guinea	Guinea	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.199933642333584	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.69842105161149	Greece	Greece	Greece	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.340356816584726	Guatemala	Guatemala	Guatemala	Latin America & Caribbean (all income levels)	4
#F8766D	0.0454545454545448	0.581572881532164	Guam	Guam	Guam	East Asia & Pacific (all income levels)	4
#FB61D7	0.0454545454545448	0.165243795542989	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.449960786233268	Guyana	Guyana	Guyana	Latin America & Caribbean (all income levels)	4
#F8766D	0.0454545454545448	0.671529874270065	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	East Asia & Pacific (all income levels)	4
#53B400	0.0454545454545448	0.347602537149899	Honduras	Honduras	Honduras	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.655471934651855	Croatia	Croatia	Croatia	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.283288311386457	Haiti	Haiti	Haiti	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.687165216528132	Hungary	Hungary	Hungary	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.329885750879692	Indonesia	Indonesia	Indonesia	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.713475702532959	Ireland	Ireland	Ireland	Europe & Central Asia (all income levels)	4
#00C094	0.0454545454545448	0.749543931180781	Israel	Israel	Israel	Middle East & North Africa (all income levels)	4
#C49A00	0.0454545454545448	0.820013561118884	Isle of Man	Isle of Man	Isle of Man	Europe & Central Asia (all income levels)	4
#A58AFF	0.0454545454545448	0.288942831279943	India	India	India	South Asia	4
#00C094	0.0454545454545448	0.388793618688654	Iraq	Iraq	Iraq	Middle East & North Africa (all income levels)	4
#00C094	0.0454545454545448	0.322160047881194	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	Middle East & North Africa (all income levels)	4
#C49A00	0.0454545454545448	0.771671387380673	Iceland	Iceland	Iceland	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.704627760321779	Italy	Italy	Italy	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.728247228424477	Channel Islands	Channel Islands	Channel Islands	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.62777926645383	Jamaica	Jamaica	Jamaica	Latin America & Caribbean (all income levels)	4
#00C094	0.0454545454545448	0.466702406292931	Jordan	Jordan	Jordan	Middle East & North Africa (all income levels)	4
#F8766D	0.0454545454545448	0.681913152214135	Japan	Japan	Japan	East Asia & Pacific (all income levels)	4
#FB61D7	0.0454545454545448	0.349972426662351	Kenya	Kenya	Kenya	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.501889717062326	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.288297154198214	Cambodia	Cambodia	Cambodia	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.436331641335084	Kiribati	Kiribati	Kiribati	East Asia & Pacific (all income levels)	4
#FB61D7	0.0454545454545448	0.30446758376121	Comoros	Comoros	Comoros	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.624030235016957	St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	Latin America & Caribbean (all income levels)	4
#F8766D	0.0454545454545448	0.488004049485999	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.453375388104561	Korea, Rep.	Korea, Rep.	Korea, Rep.	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.654904164457564	Kosovo	Kosovo	Kosovo	Europe & Central Asia (all income levels)	4
#00C094	0.0454545454545448	0.58428936168531	Kuwait	Kuwait	Kuwait	Middle East & North Africa (all income levels)	4
#C49A00	0.0454545454545448	0.536031935439285	Kazakhstan	Kazakhstan	Kazakhstan	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.312815781792005	Lao PDR	Lao PDR	Lao PDR	East Asia & Pacific (all income levels)	4
#00C094	0.0454545454545448	0.578035908842557	Lebanon	Lebanon	Lebanon	Middle East & North Africa (all income levels)	4
#53B400	0.0454545454545448	0.525828033353117	St. Lucia	St. Lucia	St. Lucia	Latin America & Caribbean (all income levels)	4
#A58AFF	0.0454545454545448	0.529125964910053	Sri Lanka	Sri Lanka	Sri Lanka	South Asia	4
#FB61D7	0.0454545454545448	0.2141940230368	Liberia	Liberia	Liberia	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.352131017494733	Lesotho	Lesotho	Lesotho	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.71589955681622	Lithuania	Lithuania	Lithuania	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.692126175106637	Luxembourg	Luxembourg	Luxembourg	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.71495707349504	Latvia	Latvia	Latvia	Europe & Central Asia (all income levels)	4
#00C094	0.0454545454545448	0.35490108238509	Libya	Libya	Libya	Middle East & North Africa (all income levels)	4
#00C094	0.0454545454545448	0.353909194696266	Morocco	Morocco	Morocco	Middle East & North Africa (all income levels)	4
#C49A00	0.0454545454545448	0.590558395905549	Moldova	Moldova	Moldova	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.599946365858421	Montenegro	Montenegro	Montenegro	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.248981158428292	Madagascar	Madagascar	Madagascar	Sub-Saharan Africa (all income levels)	4
#F8766D	0.0454545454545448	0.751645516973573	Marshall Islands	Marshall Islands	Marshall Islands	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.573702005699516	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.0998662357744398	Mali	Mali	Mali	Sub-Saharan Africa (all income levels)	4
#F8766D	0.0454545454545448	0.293074936582844	Myanmar	Myanmar	Myanmar	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.386090439711412	Mongolia	Mongolia	Mongolia	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.641023437318	Macao SAR, China	Macao SAR, China	Macao SAR, China	East Asia & Pacific (all income levels)	4
#FB61D7	0.0454545454545448	0.285613356934433	Mauritania	Mauritania	Mauritania	Sub-Saharan Africa (all income levels)	4
#00C094	0.0454545454545448	0.680911003618186	Malta	Malta	Malta	Middle East & North Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.543048495745315	Mauritius	Mauritius	Mauritius	Sub-Saharan Africa (all income levels)	4
#A58AFF	0.0454545454545448	0.211540248427202	Maldives	Maldives	Maldives	South Asia	4
#FB61D7	0.0454545454545448	0.216147395726667	Malawi	Malawi	Malawi	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.516267908180691	Mexico	Mexico	Mexico	Latin America & Caribbean (all income levels)	4
#F8766D	0.0454545454545448	0.553409351707147	Malaysia	Malaysia	Malaysia	East Asia & Pacific (all income levels)	4
#FB61D7	0.0454545454545448	0.172988120187753	Mozambique	Mozambique	Mozambique	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.358043200167153	Namibia	Namibia	Namibia	Sub-Saharan Africa (all income levels)	4
#F8766D	0.0454545454545448	0.541258917535864	New Caledonia	New Caledonia	New Caledonia	East Asia & Pacific (all income levels)	4
#FB61D7	0.0454545454545448	0.21807340599753	Niger	Niger	Niger	Sub-Saharan Africa (all income levels)	4
