size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
2	#00C094	0.701598019844975	0.465249917884241	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	3	#00C094
3.39427400463467	#A58AFF	0.789206852378574	0.123568931234934	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.80498447189992	#C49A00	0.583809192956554	0.627319805834754	Albania	Albania	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.434754760405584	0.666883203476486	Armenia	Armenia	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#FB61D7	0.755010096185162	0.154031664323316	Angola	Angola	Sub-Saharan Africa (all income levels)	3	#FB61D7
4.27683991532123	#53B400	0.288631478385479	0.646436635877231	Argentina	Argentina	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.257040189330612	0.707519815996854	Austria	Austria	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#F8766D	0.326953557548255	0.732963065332755	Australia	Australia	East Asia & Pacific (all income levels)	3	#F8766D
2	#53B400	0.438662961113403	0.661648620707963	Aruba	Aruba	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#C49A00	0.56025142757887	0.588089697657812	Azerbaijan	Azerbaijan	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.37113793777276	0.58613024443039	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.41673361269731	0.649888861074653	Barbados	Barbados	Latin America & Caribbean (all income levels)	3	#53B400
5.50884596413123	#A58AFF	0.690416223375383	0.387983007025719	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.39427400463467	#C49A00	0.234676596391428	0.721698869510259	Belgium	Belgium	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#FB61D7	0.641997959050741	0.202185341397292	Burkina Faso	Burkina Faso	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.196463078359424	0.710362467304285	Bulgaria	Bulgaria	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.731452330807478	0.478667764102353	Bahrain	Bahrain	Middle East & North Africa (all income levels)	3	#00C094
2.80498447189992	#FB61D7	0.691610395813883	0.279925774117987	Burundi	Burundi	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.647426015589378	0.19130459947442	Benin	Benin	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#F8766D	0.653288316651106	0.615487839817967	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific (all income levels)	3	#F8766D
2.80498447189992	#53B400	0.675000542805654	0.301827870394711	Bolivia	Bolivia	Latin America & Caribbean (all income levels)	3	#53B400
6.33497404836523	#53B400	0.620177171765421	0.490973632014912	Brazil	Brazil	Latin America & Caribbean (all income levels)	3	#53B400
2	#53B400	0.436383177367175	0.624057217402362	Bahamas, The	Bahamas, The	Latin America & Caribbean (all income levels)	3	#53B400
2	#A58AFF	0.677388887682654	0.213102566545497	Bhutan	Bhutan	South Asia	3	#A58AFF
2	#FB61D7	0.675109103936427	0.42605819310062	Botswana	Botswana	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.224688972360336	0.699768650747338	Belarus	Belarus	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.654591050220379	0.592045847405187	Belize	Belize	Latin America & Caribbean (all income levels)	3	#53B400
4.12978872191586	#00B6EB	0.35289966780294	0.73957945026088	Canada	Canada	North America	3	#00B6EB
