size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
2.80498447189992	#00C094	0.240430336322383	0.790200685481801	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	3	#00C094
4.27683991532123	#A58AFF	0.792463686301756	0.333307193355736	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.80498447189992	#C49A00	0.196571639490197	0.784323845933924	Albania	Albania	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.136537334172873	0.733695390074656	Armenia	Armenia	Europe & Central Asia (all income levels)	3	#C49A00
3.8	#FB61D7	0.694324424083201	0.331937172237649	Angola	Angola	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.01197609552267	#53B400	0.222192066352563	0.776209748599035	Argentina	Argentina	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.100929283279415	0.843347623990047	Austria	Austria	Europe & Central Asia (all income levels)	3	#C49A00
4.12978872191586	#F8766D	0.143919491065419	0.862159287053932	Australia	Australia	East Asia & Pacific (all income levels)	3	#F8766D
2	#53B400	0.156729704496602	0.776242811521996	Aruba	Aruba	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.170408406973967	0.667751580246203	Azerbaijan	Azerbaijan	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.106574462079597	0.785405041518101	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.122424387172417	0.802546836955668	Barbados	Barbados	Latin America & Caribbean (all income levels)	3	#53B400
7.63489130329947	#A58AFF	0.292105434570206	0.636170028247517	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.60996894379985	#C49A00	0.134583233818963	0.83859720402442	Belgium	Belgium	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#FB61D7	0.632770262935059	0.409787434667949	Burkina Faso	Burkina Faso	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.0900731702021408	0.744196858467469	Bulgaria	Bulgaria	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.248572421130339	0.77742661617743	Bahrain	Bahrain	Middle East & North Africa (all income levels)	3	#00C094
3.13841995766062	#FB61D7	0.579900992248735	0.344404174395441	Burundi	Burundi	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#FB61D7	0.600961851618646	0.446622571115021	Benin	Benin	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#00B6EB	0.142182512973055	0.840824200904306	Bermuda	Bermuda	North America	3	#00B6EB
2	#F8766D	0.213941420413835	0.81538703210596	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific (all income levels)	3	#F8766D
3.39427400463467	#53B400	0.402729226827627	0.608643054697894	Bolivia	Bolivia	Latin America & Caribbean (all income levels)	3	#53B400
8.48999229583518	#53B400	0.209924658575244	0.720432977597817	Brazil	Brazil	Latin America & Caribbean (all income levels)	3	#53B400
2	#53B400	0.178116247258831	0.743649610087429	Bahamas, The	Bahamas, The	Latin America & Caribbean (all income levels)	3	#53B400
2	#A58AFF	0.352356862149076	0.583877025232292	Bhutan	Bhutan	South Asia	3	#A58AFF
2.80498447189992	#FB61D7	0.323913845886619	0.41857837183954	Botswana	Botswana	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#C49A00	0.0955012267407777	0.701329068697647	Belarus	Belarus	Europe & Central Asia (all income levels)	3	#C49A00
