colour	showSelectedlegendcolour	fill	group
#F8766D	FC	#F8766D	1
#F8766D	FC	#F8766D	2
#F8766D	FC	#F8766D	3
#F8766D	FC	#F8766D	4
#F8766D	FC	#F8766D	5
#F8766D	FC	#F8766D	6
#F8766D	FC	#F8766D	7
#F8766D	FC	#F8766D	8
#F8766D	FC	#F8766D	9
#F8766D	FC	#F8766D	10
#F8766D	FC	#F8766D	11
#F8766D	FC	#F8766D	12
#F8766D	FC	#F8766D	13
#F8766D	FC	#F8766D	14
#00BFC4	FF	#00BFC4	15
#F8766D	FC	#F8766D	16
#F8766D	FC	#F8766D	17
#00BFC4	FF	#00BFC4	18
#F8766D	FC	#F8766D	19
#F8766D	FC	#F8766D	20
#F8766D	FC	#F8766D	21
#F8766D	FC	#F8766D	22
#F8766D	FC	#F8766D	23
#F8766D	FC	#F8766D	24
#F8766D	FC	#F8766D	25
#00BFC4	FF	#00BFC4	26
#F8766D	FC	#F8766D	27
#00BFC4	FF	#00BFC4	28
#F8766D	FC	#F8766D	29
#F8766D	FC	#F8766D	30
#F8766D	FC	#F8766D	31
#F8766D	FC	#F8766D	32
#F8766D	FC	#F8766D	33
#F8766D	FC	#F8766D	34
#F8766D	FC	#F8766D	35
#F8766D	FC	#F8766D	36
#F8766D	FC	#F8766D	37
#F8766D	FC	#F8766D	38
#F8766D	FC	#F8766D	39
#00BFC4	FF	#00BFC4	40
#F8766D	FC	#F8766D	41
#F8766D	FC	#F8766D	42
#F8766D	FC	#F8766D	43
#00BFC4	FF	#00BFC4	44
#00BFC4	FF	#00BFC4	45
#F8766D	FC	#F8766D	46
#00BFC4	FF	#00BFC4	47
#F8766D	FC	#F8766D	48
#00BFC4	FF	#00BFC4	49
#F8766D	FC	#F8766D	50
#F8766D	FC	#F8766D	51
#F8766D	FC	#F8766D	52
#F8766D	FC	#F8766D	53
#F8766D	FC	#F8766D	54
#00BFC4	FF	#00BFC4	55
#F8766D	FC	#F8766D	56
#F8766D	FC	#F8766D	57
#F8766D	FC	#F8766D	58
#F8766D	FC	#F8766D	59
#F8766D	FC	#F8766D	60
#F8766D	FC	#F8766D	61
#F8766D	FC	#F8766D	62
#F8766D	FC	#F8766D	63
#F8766D	FC	#F8766D	64
#F8766D	FC	#F8766D	65
#F8766D	FC	#F8766D	66
#F8766D	FC	#F8766D	67
#F8766D	FC	#F8766D	68
#F8766D	FC	#F8766D	69
#F8766D	FC	#F8766D	70
#F8766D	FC	#F8766D	71
#F8766D	FC	#F8766D	72
#F8766D	FC	#F8766D	73
#F8766D	FC	#F8766D	74
#F8766D	FC	#F8766D	75
#F8766D	FC	#F8766D	76
#F8766D	FC	#F8766D	77
#F8766D	FC	#F8766D	78
#F8766D	FC	#F8766D	79
#00BFC4	FF	#00BFC4	80
#F8766D	FC	#F8766D	81
#F8766D	FC	#F8766D	82
#F8766D	FC	#F8766D	83
#F8766D	FC	#F8766D	84
#F8766D	FC	#F8766D	85
#F8766D	FC	#F8766D	86
#F8766D	FC	#F8766D	87
#F8766D	FC	#F8766D	88
#00BFC4	FF	#00BFC4	89
#F8766D	FC	#F8766D	90
#F8766D	FC	#F8766D	91
#F8766D	FC	#F8766D	92
#F8766D	FC	#F8766D	93
#F8766D	FC	#F8766D	94
#F8766D	FC	#F8766D	95
#F8766D	FC	#F8766D	96
#F8766D	FC	#F8766D	97
#F8766D	FC	#F8766D	98
#F8766D	FC	#F8766D	99
#F8766D	FC	#F8766D	100
